target,meets_target,method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,leaf_size,node_budget,exploration,seed,start_depth,candidate_target,reasons,source_setting_ids
0.5,True,scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00210,1,1,1,3000,3,True,True,0.729,0.04612500015355181,0.06087709966777764,141.1558050340318,0.04635450022760779,0.04554100041787024,0.04670850012189476,20917240,118652928,575.399,0.0,0.0,0.0,0.0,0.0,0.0,main-s00210,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,21974008,575.399,qwen-quora-d256::main-s00210,,,,,,,,
0.5,True,branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00230,1,1,1,3000,3,True,True,0.729,0.05650000002788147,0.07275205007317707,173.15683797278325,0.05679199966834858,0.055625000186410034,0.05756249993282836,38663160,137248768,575.399,1.0,0.0,9.483,0.0,0.0,0.0,main-s00230,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,39719928,575.399,qwen-quora-d256::main-s00210,2048,512,0,42,,,,
0.5,True,prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256-followup::qwen-quora-d256-followup-s00035,1,1,1,3000,3,True,True,0.729,0.047582998377038166,0.06329404841380891,145.38686304877046,0.04752099994220771,0.04749999970954377,0.04766649908560794,23008964,105365504,575.399,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d256-followup-s00035,qwen-quora-d256-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256-followup,32000000000,1056768,24065732,575.399,qwen-quora-d256::main-s00210,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00210', 'target': 0.5}]",['main-s00210']
0.8,True,scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00211,1,2,1,3000,3,True,True,0.855,0.06714549999742303,0.08934134980336235,205.5094559882491,0.06750000011379598,0.06627100037803757,0.06770849950044067,20917240,118652928,1132.15,0.0,0.0,0.0,0.0,0.0,0.0,main-s00211,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,21974008,1132.15,qwen-quora-d256::main-s00211,,,,,,,,
0.8,True,branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00235,1,2,1,3000,3,True,True,0.855,0.0806044999990263,0.10583510074866352,246.5767760122617,0.08062500000960426,0.0802294998720754,0.08108300016829162,38663160,137248768,1132.15,2.0,0.0,18.662,0.0,0.0,0.0,main-s00235,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,39719928,1132.15,qwen-quora-d256::main-s00211,2048,8192,0,42,,,,
0.8,True,prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00309,1,2,1,3000,3,True,True,0.855,0.0737084997126658,0.09887919986795166,226.24108102354512,0.07404149937428883,0.07300000015675323,0.07433400014633662,23008964,105480192,1132.15,0.0,0.0,0.0,17.0,64.0,0.0,main-s00309,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,24065732,1132.15,qwen-quora-d256::main-s00211,,,,,16,0,,
0.9,True,scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00212,1,3,1,3000,3,True,True,0.906,0.08743750004214235,0.11433399963607371,266.66563795879483,0.08766700011619832,0.08639550014777342,0.0883330003489391,20917240,118652928,1679.939,0.0,0.0,0.0,0.0,0.0,0.0,main-s00212,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,21974008,1679.939,qwen-quora-d256::main-s00212,,,,,,,,
0.9,True,branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00239,1,3,1,3000,3,True,True,0.906,0.10370900008638273,0.13388334987212142,316.07255999097106,0.10370849986429675,0.10206249953625957,0.1051874996846891,38663160,137248768,1679.939,3.0,0.0,27.715,0.0,0.0,0.0,main-s00239,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,39719928,1679.939,qwen-quora-d256::main-s00212,2048,8192,0,42,,,,
0.9,True,prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256-followup::qwen-quora-d256-followup-s00037,1,3,1,3000,3,True,True,0.906,0.09381249947182368,0.12321219946898052,286.39355312407133,0.09295800009567756,0.09245849832950626,0.09589649926056154,23008964,105562112,1679.939,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d256-followup-s00037,qwen-quora-d256-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256-followup,32000000000,1056768,24065732,1679.939,qwen-quora-d256::main-s00212,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00212', 'target': 0.9}]",['main-s00212']
0.95,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,qwen-quora-d256::main-s00393,1,5,1,3000,3,True,True,0.95,0.10689550026654615,0.119169049867196,322.39673999356455,0.10650000012901728,0.10600000041449675,0.1080624997484847,20917240,122142720,723.5,0.0,0.0,0.0,0.0,0.0,0.0,main-s00393,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,4227072,25144312,723.5,qwen-quora-d256::main-s00393,,,,,,,,
